"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
e편한세상613동앞BRT,무인대여소,,세종특별자치시 대평동 613-2,36.475127,127.280487,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"투머로우시티513동앞BRT",무인대여소,,세종특별자치시 보람동 664-134,36.474907,127.280865,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"대평동씨티오브드림BRT1",무인대여소,,세종특별자치시 대평동 63-16,36.4732805673,127.277222185,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"대평동씨티오브드림BRT2",무인대여소,,세종특별자치시 대평동 65-12,36.472293,127.276106,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"대평동씨티오브드림BRT3",무인대여소,,세종특별자치시 대평동 125-3,36.471963,127.275669,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"대평동세종메디컬센터BRT1",무인대여소,,세종특별자치시 대평동 548,36.472382,127.277055,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"대평동세종메디컬센터BRT2",무인대여소,,세종특별자치시 대평동 65-15,36.472197,127.276779,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"대평동세종메디컬센터BRT3",무인대여소,,세종특별자치시 대평동 152-7,36.471763,127.276105,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"해피라움블루건너편",무인대여소,,세종특별자치시 대평동 198-64,36.475098,127.274318,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"금강변길",무인대여소,,세종특별자치시 대평동 201-7,36.474216,127.272908,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종고속시외버스터미널BRT1",무인대여소,,세종특별자치시 대평동 643,36.470563,127.273195,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종고속시외버스터미널",무인대여소,,세종특별자치시 대평동 499,36.469017,127.274299,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종시청 서문 거치대",무인대여소,,세종특별자치시 보람동 627-2,36.479836,127.288415,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종보 입구",무인대여소,,세종특별자치시 연기면 세종리 1054,36.476538,127.259123,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"한솔중학교버스승강장",무인대여소,,세종특별자치시 한솔동 976,36.4758389407,127.2558279121,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"첫마을7단지702동앞",무인대여소,,세종특별자치시 한솔동 1234,36.4753330572,127.2559014476,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"첫마을6단지617동옆",무인대여소,,세종특별자치시 한솔동 1229,36.475626,127.252013,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"한솔초등학교",무인대여소,,세종특별자치시 한솔동 1238,36.477596,127.252029,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"첫마을5단지525옆",무인대여소,,세종특별자치시 한솔동 1229,36.477601,127.250310,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"한솔동주민센터",무인대여소,,세종특별자치시 한솔동 1230,36.479357,127.254900,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"첫마을4단지404동앞",무인대여소,,세종특별자치시 한솔동 1229,36.481052,127.253419,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"첫마을4단지402동앞",무인대여소,,세종특별자치시 한솔동 1229,36.480223,127.251569,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"한솔동1단지",무인대여소,,세종특별자치시 한솔동 1231,36.482133,127.259645,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
