순위,국가,1인당_GDP,영문,인지도
142,케냐,"1,998",Kenya,741000000
143,상투메 프린시페,"1,933",Sao Tome and Principe,293000000
144,니카라과,"1,919",Nicaragua,401000000
145,방글라데시,"1,906",Bangladesh,654000000
146,우즈베키스탄,"1,832",Uzbekistan,240000000
147,코트디부아르,"1,691",Republic of Cote d'Ivoire,283000000
148,캄보디아,"1,621",Cambodia,432000000
149,키리바시,"1,575",Kiribati,167000000
150,카메룬,"1,515",Cameroon,264000000
151,세네갈,"1,428",Senegal,515000000
152,모리타니,"1,392",Mauritania,200000000
153,파키스탄,"1,388",Pakistan,1660000000
154,코모로,"1,350",Comoros,166000000
155,레소토,"1,339",Lesotho,201000000
156,잠비아,"1,307",Zambia,328000000
157,키르기스스탄,"1,293",Kyrgyzstan,238000000
158,미얀마,"1,245",Republic of the Union of Myanmar,412000000
159,베냉,"1,217",Benin,241000000
160,탄자니아,"1,105",Tanzania,474000000
161,네팔,"1,048",Nepal,614000000
162,기니,981,Guinea,419000000
163,에티오피아,953,Ethiopia,470000000
164,예멘,943,Yemen,345000000
165,말리,924,Mali,559000000
166,타지키스탄,877,Tajikistan,180000000
167,차드,861,Chad,350000000
168,짐바브웨,860,Zimbabwe,425000000
169,르완다,825,Rwanda,362000000
170,기니비사우,786,Guinea Bissau,156000000
171,아이티,784,Haiti,523000000
172,우간다,770,Uganda,465000000
173,감비아,755,Republic of The Gambia,231000000
174,부르키나파소,718,Burkina Faso,300000000
175,수단,714,Sudan,405000000
176,라이베리아,704,Liberia,254000000
177,토고,671,Togo,340000000
178,시에라리온,547,Sierra Leone,497000000
179,아프가니스탄,513,Afghanistan,422000000
180,콩고 민주 공화국,501,Democratic Republic of the Congo,671000000
181,모잠비크,484,Mozambique,296000000
182,마다가스카르,464,Madagascar,313000000
183,중앙아프리카 공화국,448,Central African Republic,939000000
184,니제르,405,Niger,294000000
185,말라위,371,Malawi,285000000
186,에리트레아,343,Eritrea,187000000
187,부룬디,310,Burundi,326000000
188,남수단,275,Republic of South Sudan,336000000
