순위,국가,1인당_GDP,영문
175,수단,714,Sudan
176,라이베리아,704,Liberia
177,토고,671,Togo
178,시에라리온,547,Sierra Leone
179,아프가니스탄,513,Afghanistan
180,콩고 민주 공화국,501,Democratic Republic of the Congo
181,모잠비크,484,Mozambique
182,마다가스카르,464,Madagascar
183,중앙아프리카 공화국,448,Central African Republic
184,니제르,405,Niger
185,말라위,371,Malawi
186,에리트레아,343,Eritrea
187,부룬디,310,Burundi
188,남수단,275,Republic of South Sudan
